,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
79,alternative,MAMALICIOUS,MLZELMA DRESS , Day dress,summer-dresses,44.99,army green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,,Floral,Belt included,M6429F126-N11,Knee-length,"24.5 "" (Size 8)","39.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
80,girly,Missguided,SHIRRED STRAP DRESS , Cocktail dress / Party dress,Cocktail Dresses,21.99,pink,,,,,"95% polyester, 5% elastane",,Machine wash at 30°C,,,,Zip,Backless,Plain,Bust darts,M0Q21C23C-J11,Short,"Strapless, sleeveless","30.5 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)"
81,edgy,Superdry,Day dress,,summer-dresses,59.99,black,,,,,"58% cupro, 42% viscose",,,,,,,Backless,Plain,,SU221C0NE-Q11,Knee-length,Spaghetti straps,,Slim Fit,,
82,casual chic,GAP,PARTY TIE WAIST DRESS , Day dress,summer-dresses,43.99,black,,,Satin,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,Belt included,GP021C0KD-Q11,Short,"23.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
83,casual chic,Vila,VIDIANA FLOUNCE DRESS , Day dress,summer-dresses,30.99,bordeaux,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Floral,"Belt included, bust darts",V1021C2F4-G11,Knee-length,Short,"38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
84,alternative,Esprit,LIGHT  , Day dress,summer-dresses,29.99,black,,,,,100% viscose,,"Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,,Print,,ES121C235-Q11,Short,Long,,Loose Fit,,
85,casual chic,YAS,YASBOOM DRESS , Day dress,summer-dresses,69.99,black,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Peter Pan collar,,,,Crew neck,Floral,"Bust darts, slip",Y0121C1R5-Q11,Short,"25.0 "" (Size S)","33.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
86,alternative,ONLY,ONLFIA WRAP DRESS , Day dress,summer-dresses,26.34,army green,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,,Cache-coeur,Paisley,"Belt included, slip",ON321C2TD-K11,Knee-length,Long,,Regular Fit,,
87,casual chic,edc by Esprit,DRESS , Day dress,summer-dresses,44.99,black multi-coloured,,,,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,,Slip,ED121C0WL-K11,Short,"25.0 "" (Size 10)","35.0 "" (Size 10)",Regular Fit,,"15.0 "" (Size 10)"
88,girly,Mango,VOLE,H ,summer-dresses,35.99,pink,,,,,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,M9121C5IW-J11,Short,Elbow length,,Loose Fit,,
89,alternative,Pieces Maternity,PMKAITLYN  , Day dress,summer-dresses,30.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Laces,Cache-coeur,Floral,,PIV29F03K-Q12,Knee-length,Elbow length,,Regular Fit,,
90,casual chic,TOM TAILOR DENIM,PRINTED  , Day dress,summer-dresses,54.99,navy,,,Tulle,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",Mandarin collar,,,,,Floral,Slip,TO721C0CW-T11,Calf-length,Long,,Slim Fit,,
91,edgy,Missguided Petite,PUFFBALL SHIRT DRESS , Day dress,summer-dresses,30.99,army green,,,,,100% cotton,100% polyester,Machine wash at 30°C,Turn-down collar,,,Button,,Plain,"Covered fastener, elasticated waist, belt included",M0V21C0N5-N11,Short,Elbow length,"30.5 "" (Size 8)",Regular Fit,,"13.0 "" (Size 8)"
92,alternative,Mango,CAPRIL,H ,summer-dresses,59.99,yellow,,,,,"55% linen, 45% viscose",,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Lapel collar,,,,,Plain,Elasticated waist,M9121C5IR-E11,Calf-length,Sleeveless,,Regular Fit,,
93,girly,Billabong,SPRING ROMANCE , Day dress,summer-dresses,59.99,pastel pink,,,,,100% viscose,,Hand wash only,,,,Laces,Cache-coeur,Floral,,BI721C056-J11,Short,"24.5 "" (Size S)","33.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
94,trendy,Esqualo,COLORFUL IMPRESSION , Day dress,summer-dresses,94.99,pink,,Yes,,,100% viscose,100% viscose,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Button,V-neck,Paisley,"Belt included, slip",ESM21C02B-G11,Knee-length,"21.5 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,,"14.0 "" (Size 8)"
95,girly,DESIGNERS REMIX,SANDRA BOW DRESS , Day dress,summer-dresses,299.99,black,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Button,,Plain,"Bow, border, embroidery",DEA21C04U-Q11,Extra short,"25.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
96,alternative,Vero Moda,VMNATASHA DRESS , Day dress,summer-dresses,34.99,blue,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Floral,Slip,VE121C3BY-K11,Short,Short,"39.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)"
97,classic,Marc O'Polo DENIM,DRESS ROUNDNECK SHORTSLEEVE , Day dress,summer-dresses,89.99,pastel blue,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,Bust darts,OP521C06A-K11,Knee-length,Short,"35.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","18.5 "" (Size S)"
98,alternative,STAUD,MINI WELLS DRESS , Day dress,summer-dresses,169.99,burnt orange,,,,,"98% cotton, 2% elastane",100% cotton,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Square neck,Plain,Slip,S5F21C007-G11,Knee-length,Sleeveless,"36.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)"
99,alternative,NAF NAF,FOLKITOU , Day dress,summer-dresses,89.99,multi-coloured,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Paisley,,NA521C17W-T11,Knee-length,"25.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
100,girly,Envii,ENCORK DRESS , Day dress,summer-dresses,69.99,white multi-coloured,,,,Semi-sheer,100% cotton,,,Standing collar,,,Zip,,Print,,EI421C075-A11,Short,"25.0 "" (Size S)","35.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
101,casual chic,ICHI PETITE,AFILIKKE , Day dress,summer-dresses,64.99,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry",,,,,Low-cut v-neck,Floral,"Belt included, slip",ICG21C00X-T11,Calf-length,Long,,Regular Fit,,
102,sporty,Superdry,COLLEGE CREW , Day dress,summer-dresses,25.0,grey,,,Sweat,,100% cotton,,"Do not bleach, do not tumble dry",,,,,Crew neck,Print,,SU221C0PF-C11,Short,Long,,Oversized,,
103,casual chic,MOSCHINO,TEDDY BUTTONS , Cocktail dress / Party dress,Cocktail Dresses,,red,,,,,"51% silk, 49% acetate","89% acetate, 6% elastane, 5% silk",Dry clean only,,,,Zip,Low-cut v-neck,Plain,"Slip, decorative buttons",6MO21C028-G11,Knee-length,Elbow length,"40.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
104,classic,Persona by Marina Rinaldi,DORA , Day dress,summer-dresses,149.99,navy,,,,,"98% polyester, 2% elastane",,,,,,,Crew neck,Plain,,PQ021C03U-K11,Calf-length,3/4 length,,Loose Fit,,
105,girly,Vila,VIRILLA , Occasion wear,Occasion dresses,52.24,pastel pink,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Volant collar,,,Zip,Backless,Plain,"Bust darts, slip",V1021C2W5-J11,Long,Extra short,"56.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
106,girly,Superdry,Day dress,,summer-dresses,39.99,pastel blue,,,,,100% lyocell,,,,,,,,,,SU221C0NW-K11,,,,,,
107,classic,Esprit Collection,RELAXED FIT , Day dress,summer-dresses,59.0,navy,,,,,"53% viscose, 47% polyamide",,"Do not tumble dry, machine wash at 30°C, Do not bleach",,,,,Crew neck,Plain,,ES421C1MB-Q11,Knee-length,Short,,Regular Fit,,
108,edgy,Monki,Cocktail dress / Party dress,,Cocktail Dresses,22.0,black,,,Satin,,"97% polyester, 3% elastane",,"Machine wash at 40°C, do not tumble dry",,,,,Backless,Plain,,MOQ21C0BR-Q11,Short,Spaghetti straps,"33.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","13.5 "" (Size 10)"
109,edgy,VILA CURVE,3/4 SHORT , Day dress,summer-dresses,34.99,green,,,,,100% polyester,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Striped,"Elasticated waist, bust darts",V0H21C00T-M11,Short,Elbow length,"38.0 "" (Size 18)",Loose Fit,,"17.5 "" (Size 18)"
110,casual chic,NAF NAF,JUSTINE , Cocktail dress / Party dress,Cocktail Dresses,49.99,red,,,Tulle,,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,"Slip, bow",NA521C18B-G11,Short,Elbow length,,Regular Fit,,
111,classic,Love Copenhagen,KELVA DRESS , Cocktail dress / Party dress,Cocktail Dresses,139.99,black,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,,Slip,L1G21C059-Q11,Calf-length,"25.0 "" (Size 8)","53.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",
112,edgy,Saint Tropez,Day dress,,summer-dresses,49.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,,,,Low-cut v-neck,Floral,,S2821C06T-Q13,Knee-length,"17.5 "" (Size M)","38.0 "" (Size M)",Oversized,"Our model is 5' 10""  tall and is wearing size M",
113,alternative,Superdry,Day dress,,summer-dresses,44.99,army green,,,,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Crew neck,Plain,,SU221C0OH-M11,Calf-length,Sleeveless,,Regular Fit,,
114,edgy,Esqualo,DRESS SHORT PLISSE HEARTS ON FIRE , Day dress,summer-dresses,84.99,purple,,,,,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Laces,,Print,Slip,ESM21C021-I11,Knee-length,Long,"37.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
115,alternative,Pieces Petite,PCBEAUTY STRAP TIE DRESS , Day dress,summer-dresses,23.99,pastel green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Laces,Backless,Floral,Bust darts,PIT21C025-M11,Short,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,,
116,unknown,adidas Originals,Day dress,,summer-dresses,42.95,pastel pink,,,Jersey,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Do not iron",,,,Zip,Crew neck,Plain,,AD121C089-J11,Knee-length,Short,,Loose Fit,,
117,trendy,Lauren Ralph Lauren,ONE SHOULDER GOWN , Occasion wear,Occasion dresses,174.99,navy,,,Jersey,,"95% polyester, 5% elastane","95% polyester, 5% elastane",Hand wash only,,Asymmetrical,,,,Plain,,L4221C0WP-K11,Long,Sleeveless,"55.0 "" (Size 8)",Small,"Our model is 5' 10""  tall and is wearing size 8",
118,girly,Faithfull the brand,FRANCESCA MIDI DRESS , Day dress,summer-dresses,290.0,white,,,,,100% linen,100% viscose,Hand wash only,,,,,Low-cut v-neck,Plain,"Adjustable straps, slip, bow",F0O21C024-A11,Calf-length,Spaghetti straps,"47.0 "" (Size S)",Regular Fit,"Our model is 5' 8""  tall and is wearing size S",
119,edgy,Rebecca Minkoff,GIGI DRESS , Day dress,summer-dresses,264.99,black/red,,,,,100% viscose,,Dry clean only,,,,Button,Crew neck,Floral,,RM621C02P-G11,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S","16.0 "" (Size S)"
120,alternative,Vero Moda,VMADAREBECCA SHORT DRESS  , Day dress,summer-dresses,16.19,army green,,,Jersey,,"60% cotton, 40% polyester",,"Machine wash at 40°C, do not tumble dry",,,,,Henley,Plain,Adjustable straps,VE121C2QH-M11,Knee-length,Spaghetti straps,"40.0 "" (Size S)",Regular Fit,,
121,casual chic,Lauren Ralph Lauren Woman,FLORAL SURPLICE JERSEY DRESS , Day dress,summer-dresses,164.99,black,,,Jersey,,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Print,,L0S21C058-Q11,Short,Long,,Slim Fit,,
122,casual chic,Vanessa Bruno,SELVA , Day dress,summer-dresses,309.99,black,,,,,"73% acetate, 27% viscose",,Dry clean only,Standing collar,,,,Low-cut v-neck,Plain,"Belt included, inseam pockets",0VB21C01L-Q11,Knee-length,"22.0 "" (Size 10)","38.0 "" (Size 10)",Regular Fit,,"18.5 "" (Size 10)"
123,edgy,AllSaints,ILISHA DRESS , Cocktail dress / Party dress,Cocktail Dresses,399.99,black,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Button,Crew neck,,"Shoulder pads, slip, rhinestones",A0Q21C0G6-Q11,Short,Sleeveless,"33.0 "" (Size 8)",Regular Fit,,"15.5 "" (Size 8)"
124,sporty,Calvin Klein,HOODIE DRESS , Day dress,summer-dresses,103.99,grey,,,Sweat,,"64% cotton, 36% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Marl,,6CA21C050-C11,Short,"24.0 "" (Size S)","34.5 "" (Size S)",Loose Fit,,
125,girly,MICHAEL Michael Kors,HALTER CHAIN , Cocktail dress / Party dress,Cocktail Dresses,234.99,red,,,Chiffon,,100% polyester,100% polyester,Dry clean only,,,,Hook fastening ,Crew neck,Plain,Slip,MK121C0HT-I11,Calf-length,Sleeveless,"53.5 "" (Size S)",Regular Fit,,"10.0 "" (Size S)"
126,alternative,HUGO,KALI , Day dress,summer-dresses,239.0,dark green,,,,,100% polyester,100% polyester,"Clean with leather care products, do not tumble dry, Hand wash only",,,,Zip,Crew neck,Plain,"Bust darts, slip",HU721C0KZ-M11,Short,Short,,Regular Fit,,
127,sporty,Vero Moda,VMOCTAVIALS HOODIE DRESS , Day dress,summer-dresses,23.99,grey,,,Sweat,,"60% cotton, 40% polyester",,Machine wash at 40°C,Hood,,,,,Marl,,VE121C2V2-C11,Short,"20.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",
128,trendy,Patrizia Pepe,ABITO DRESS , Day dress,summer-dresses,319.99,black,,,,Semi-sheer,100% viscose,,Hand wash only,Volant collar,,,,,Plain,"Belt included, bust darts",P1421C0IZ-Q11,Short,"26.5 "" (Size 10)","34.5 "" (Size 10)",Regular Fit,,"15.5 "" (Size 10)"
129,girly,Sand Copenhagen,Day dress,,summer-dresses,239.99,white,,,,,"65% linen, 35% lyocell",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Square neck,Plain,Inseam pockets,SAA21C02K-A11,Knee-length,Sleeveless,"42.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)"
130,unknown,Mango,BEA,A ,summer-dresses,49.99,off-white,,,,,"55% viscose, 45% polyamide",,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Turn-down collar,,,,,Plain,,M9121C5K3-A11,Knee-length,Long,,Regular Fit,,
131,girly,Monki,Day dress,,summer-dresses,26.0,pastel blue,,,,,100% cotton,,Machine wash at 40°C,,,,,Backless,Floral,,MOQ21C0BT-K11,Knee-length,Short,"35.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
132,alternative,edc by Esprit,Day dress,,summer-dresses,29.99,black multi-coloured,,,,,"95% viscose, 5% elastane",,"Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Boat neck,Floral,,ED121C0Y3-Q11,Thigh-length,Long,,Regular Fit,,
133,unknown,Forever New,CHANTELLE DRAPE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,109.99,bordeaux,,,Satin,,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Backless,Plain,Adjustable straps,FOD21C0FG-I11,Long,Spaghetti straps,"51.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)"
134,classic,BITE Studios,RAW DRESS , Cocktail dress / Party dress,Cocktail Dresses,800.0,sand,,,,,"97% viscose, 3% elastane",100% cupro,Dry clean only,,,,Zip,Crew neck,Plain,"Shoulder pads, slip",BDM21C004-B11,Calf-length,Extra short,"48.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
135,trendy,Mother of Pearl,GATHERED DRESS WITH SPLITS AND TIE CUFFS , Day dress,summer-dresses,295.0,white,,,,Semi-sheer,100% lyocell,,Hand wash only,,,,Laces,Crew neck,Plain,Belt included,MP421C030-A11,Calf-length,"23.5 "" (Size S)","49.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
136,girly,Superdry,BLAIRE BRODERIE DRESS , Day dress,summer-dresses,38.49,red,,,,,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Square neck,Plain,"Button row, slip",SU221C0H6-G11,Short,Sleeveless,"36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
137,girly,Needle & Thread,FIFI LONG SLEEVE ANKLE GOWN , Occasion wear,Occasion dresses,614.99,pastel pink,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Zip,Crew neck,,"Bust darts, slip, sequins, border, embroidery",NT521C0F0-J11,Long,"24.5 "" (Size 8)","54.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
138,sporty,ONLY Carmakoma,CARSIV PLACKET HOOD , Day dress,summer-dresses,34.99,black,,,Sweat,,"60% polyester, 40% cotton",,"Do not tumble dry, machine wash at 30°C",Hood,,Hoodie pocket,,,Plain,Elasticated waist,ONA21C0G6-Q11,Short,"24.0 "" (Size S-14/16)","32.5 "" (Size S-14/16)",Regular Fit,,
139,unknown,Anna Field,Jersey dress,,summer-dresses,28.99,black/white,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Mandarin collar,,,,,Plain,"Belt included, elasticated waist",AN621C1I6-M11,Knee-length,Spaghetti straps,"43.5 "" (Size S)",Fitted waist,"Our model is 5' 10""  tall and is wearing size S",
140,sporty,Marc O'Polo,DRESS HOOD , Day dress,summer-dresses,154.99,sand,,,Sweat,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,,Hoodie pocket,,,Plain,Elasticated waist,MA321C0QO-B11,Knee-length,"27.5 "" (Size S)","37.5 "" (Size S)",Oversized,"Our model is 5' 9""  tall and is wearing size S",
141,casual chic,Esprit,DRESS , Day dress,summer-dresses,54.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,ES121C21Z-Q11,Knee-length,"25.0 "" (Size 10)","37.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","16.0 "" (Size 10)"
142,trendy,Materiel,ONE SHOULDER DRESS , Occasion wear,Occasion dresses,674.99,black,,,Satin,,"86% viscose, 14% polyester",,Dry clean only,,Asymmetrical,,Zip,,Plain,Bow,MDH21C00F-Q11,Long,"Strapless, sleeveless","59.0 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
143,casual chic,YAS,YASCHERRY LONG DRESS  VIP , Maxi dress,summer-dresses,59.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Print,,Y0121C1RA-Q11,Long,"18.5 "" (Size S)","57.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
144,alternative,Lily & Lionel,MATILDA DRESS , Day dress,summer-dresses,239.99,burnt orange,,,,,100% viscose,100% modal,"Do not tumble dry, Hand wash only",,,,,Square neck,Animal print,Bow,L2T21C01J-O11,Calf-length,"15.0 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",
145,classic,Vila,VIMILINA HALTERNECK  , Occasion wear,Occasion dresses,54.99,navy,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Zip,Crew neck,Plain,Slip,V1021C1DV-K11,Long,Sleeveless,"60.0 "" (Size 8)",Fitted waist,"Our model is 5' 9""  tall and is wearing size 8","10.0 "" (Size 8)"
146,classic,Massimo Dutti,Day dress,,summer-dresses,79.95,white,,No,Jersey,,"56% cotton, 44% viscose",,Do not tumble dry,,,,,V-neck,Plain,,M3I21C0F8-A11,Normal,Sleeveless,,Regular Fit,,
147,alternative,Esprit,Day dress,,summer-dresses,36.99,army green,,,,,"60% viscose, 40% polyamide",,Do not tumble dry,,,,,Scoop neck,Plain,,ES121C21F-M11,Calf-length,Extra short,,Loose Fit,,
148,casual chic,Moves,DEBINA , Day dress,summer-dresses,59.99,multi-coloured,,,Mesh,,"92% polyester, 8% elastane","95% viscose, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Floral,Underskirt,MOD21C07U-Q11,Calf-length,"24.5 "" (Size S)","49.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",
149,classic,JDY Tall,JDYIVY LIFE DRESS , Day dress,summer-dresses,14.99,black,,,Jersey,,"62% cotton, 38% polyester",,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,Crew neck,Plain,,JD521C000-Q11,Knee-length,Short,,Regular Fit,,
150,classic,Libertine-Libertine,Day dress,,summer-dresses,164.99,black,,,,,"69% viscose, 30% acrylic, 1% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Button,Crew neck,Plain,Bust darts,LIQ21C02W-K11,Knee-length,,"45.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","16.0 "" (Size S)"
