"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Brown,Electric blue,Grey,Off-white,Orange,Pastel blue,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Sand,Stone,Yellow","Striped","Henley neckline","Zip neck collar","I don't have a preference on materials","Button down dresses","Short","Black,Dark green,Dusty pink,Navy",Regular fit,"Strapless,Sleeveless,Short,Long","Esprit,NA-KD",,Neutral,Negative,Yes,Yes,Yes,"â‚¬40-80,â‚¬80-120",175,35,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Pink,Yellow","Large floral","I like every neckline","Mandarin collar,Peter pan collar,Volant/frill collar,Standing collar","Wool","I like all these types of dresses","Short,Thigh length,Maxi/long","Black,Burgundy,Grey,Off-white,Sand",Slim fit,"Short,Long","Only,NA-KD,Other options:","Stradivarius",Negative,Negative,Yes,Yes,Yes,â‚¬40-80,168,20,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Gold,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Sand,Silver,Stone","Checked,Paisley,Prints in general","Cowl neckline,Spaghetti straps","Peter pan collar,Standing collar","Denim,Lace,Linnen","Hooded dresses,Button down dresses","Thigh length,Knee length","Black,Blue,Dark green,Grey,Navy","Slim fit,Regular fit","Elbow length,Long","Other options:",,Neutral,Neutral,Neutral,No,No,< â‚¬40,156,55,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Electric blue,Green","Animal print,Striped,Polka dot","Square neckline,Spaghetti straps","Peter pan collar","I don't have a preference on materials","Wrap dresses,Hooded dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Black,Burnt orange,Dusty pink,Gold,Pastel orange,Pastel pink,Pastel purple,Red,Sand,Silver",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Mango,Superdry,Ralph Lauren,Tommy Hilfiger",,Neutral,Positive,No,No,No,â‚¬40-80,"1,60m",37,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Red","Checked,Small floral,Paisley,Striped,Polka dot","Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Mandarin collar","Linnen,Wool","Bodycon dresses,Hooded dresses,Polo dresses","Maxi/long","Army green,Black,Blue,Pastel blue,Pastel green,White,I like all these colors",Slim fit,"Short,Elbow length,Long","Other options:","Caroline Biss",Neutral,Neutral,Yes,No,Neutral,"â‚¬80-120,â‚¬120 - 200",183,47,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Pastel pink,Pastel purple,Silver","Animal print,Paisley,Polka dot","I like every neckline","Peter pan collar,Bow/shawl collar,Volant/frill collar","Leather,Chiffon","I like all these types of dresses","Short,Thigh length,Calf length","Burnt orange,Dark green,Dusty pink,Green,Navy,Off-white,Pastel green,Pastel orange,Yellow",I don't have a preference,"Sleeveless,Short","Mango,Other options:","Stradivarius, Pull&Bear, Weekday, ICHI",Negative,Neutral,No,Yes,Neutral,"< â‚¬40,â‚¬40-80,â‚¬80-120",172cm,23,3- Neutral,5- Very likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Off-white,Pastel yellow,Silver","Prints in general","Boat neckline (wide),Square neckline","Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","Lace,Satin","Button down dresses","Extra short,Short,Thigh length,Maxi/long","Army green,Black,Blue,Burnt orange,Green,Navy,Pastel pink,Red",Loose fit,"Sleeveless,Short,Elbow length,Long","Only,Mango",,Negative,Negative,Yes,No,Neutral,â‚¬40-80,170cm,24,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Brown,Burnt orange,Dark green,Green,Pastel blue","Animal print,Small floral,Large floral,Paisley,Polka dot,Prints in general","Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Peter pan collar,Standing collar","Denim,Jersey,Chiffon,Lace","Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Black,Dusty pink,Grey,Navy,Off-white,Pastel pink,Yellow",Regular fit,"Sleeveless,Short,Long","Other options:",,Neutral,Negative,Neutral,Neutral,No,> â‚¬200,163,47,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Army green,Burgundy,Dark green","Animal print","I like every neckline","Zip neck collar,Standing collar","Leather","I like all these types of dresses","Knee length,Calf length,Maxi/long","Blue,Brown,Navy,Pastel pink,Pastel purple,Pastel yellow,Pink,Stone",I don't have a preference,"I like all sleeve lengths","Only,Esprit,Marc'o polo,Tommy Hilfiger",,Negative,Positive,Yes,Yes,Neutral,â‚¬80-120,165,44,5- Very likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,4- Likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green","Animal print,Paisley","Low v-neck,Boat neckline (wide)","Lapel collar,Volant/frill collar","Denim,Jersey,Sweat,Cotton","Pleated dresses","Thigh length,Maxi/long","Army green,Blue,Electric blue,Pink",Regular fit,"Sleeveless,Short","Only",,Neutral,Negative,Neutral,Neutral,Neutral,â‚¬40-80,169,46,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Green,Pastel yellow,Pink,Sand,Silver","Large floral,Striped,Prints in general","Cowl neckline,Square neckline","I like every collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Extra short,Thigh length,Maxi/long","Army green,Black,Blue,Burgundy,Brown,Burnt orange,Dark green,Grey,Stone",Loose fit,"Short,Elbow length,Long","Mango,NA-KD",,Negative,Negative,No,Yes,Neutral,â‚¬40-80,159,24,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Blue,Electric blue,Green,Pastel purple,Purple,Silver","Paisley,Prints in general","Cowl neckline,Square neckline","Peter pan collar,Bow/shawl collar,Zip neck collar,Standing collar","Denim,Leather","Polo dresses,Button down dresses","Short,Thigh length","Army green,Black,Brown,Gold,Off-white,Pastel orange,Pastel yellow,Sand,Stone,Yellow",I don't have a preference,"Strapless,Sleeveless,Short,One shoulder,Long","Ralph Lauren,Other options:","ChloÃ© ",Neutral,Negative,Yes,Yes,Neutral,> â‚¬200,1.63,32,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
"Burnt orange,Electric blue,Gold,Purple,Red,Silver,Yellow","Animal print,Paisley,Polka dot,Prints in general","Low round neckline,Square neckline","Peter pan collar,Zip neck collar,Standing collar","Leather,Sweat","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Maxi/long","Army green,Black,Dusty pink,Off-white,Stone,White",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,NA-KD",,Neutral,Negative,No,Neutral,No,â‚¬40-80,161cm,20,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,3- Neutral,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Brown,Green,Red","Checked,Striped,Polka dot,Prints in general","Cowl neckline,Low round neckline,Boat neckline (wide),Spaghetti straps","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar","Leather,Chiffon,Sweat,Lace,Satin","Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Black,Dusty pink,Grey,Navy,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pink,Stone,White","Slim fit,Regular fit","Short,Elbow length,Long","Vila,Esprit",,Positive,Negative,Neutral,No,No,â‚¬40-80,"1,67 ",55,2- Unlikely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Black,Blue,Dark green,Electric blue,Green,Navy,Off-white,Red","I don't like any of these prints (you prefer plain clothing)","Henley neckline,Round neckline,V-neck,Low v-neck,Boat neckline (wide)","Lapel collar,Mandarin collar,Zip neck collar,Standing collar","Denim,Jersey,Chiffon,Linnen,Silk,Wool,Cotton","Accentuating the waist","Thigh length,Knee length","Black,Blue,Dark green,Sand","Slim fit,Regular fit","Sleeveless,Short,Elbow length","Only,Mango,Vila,Yas,JDY,Pieces,Other options:","WE ",Negative,Negative,No,No,No,"â‚¬40-80,â‚¬80-120",180,36,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Gold,Green,Off-white,Pastel purple,Pastel yellow,White","Animal print","Round neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Zip neck collar,Standing collar","Leather,Satin,Linnen","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Maxi/long","Army green,Black,Blue,Burgundy,Brown,Burnt orange,Dark green,Dusty pink,Electric blue,Grey,Navy","Regular fit,Loose fit","Short,Elbow length,Long","Only,Desigual,Tommy Hilfiger",,Neutral,Neutral,Yes,Yes,Neutral,"â‚¬80-120,â‚¬120 - 200",165,36,3- Neutral,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Pastel purple,Purple","Checked,Small floral,Polka dot,Prints in general","Square neckline","Mandarin collar,Peter pan collar,Volant/frill collar","Chiffon","Wrap dresses,Bodycon dresses,Polo dresses","Extra short,Short,Thigh length,Knee length,Calf length,Maxi/long,I like all lengths","Army green,Black,Burgundy,Dark green,Grey,Orange,Pastel orange,Red,Yellow",Loose fit,"Short","Mango",,Neutral,Neutral,Yes,Yes,Yes,â‚¬120 - 200,163,46,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Green,Silver","Paisley","Henley neckline,Square neckline","I like every collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses","Extra short,Short,Thigh length,Knee length,Calf length,Maxi/long,I like all lengths","Black,Blue,Dusty pink,Electric blue,Grey,Off-white,Pastel blue,Pastel pink,Pastel purple,Sand,Stone,Yellow",Regular fit,"Sleeveless,Short,Elbow length,Long","Mango,Vila,Yas",,Neutral,Positive,No,Yes,Yes,â‚¬40-80,"1,65m",23,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
