Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,trendy,0.983691749,7003,,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-cammello-ef121c0bk-b11.html,Elisabetta Franchi,WOMENS DRESS WITH BELT , Cocktail dress / Party dress,Cocktail Dresses,Â£514.99,sand,--,--,Faux leather,--,100% polyester,"97% polyester, 3% elastane",Hand wash only,Lapel collar,--,--,Zip,--,Plain,"Belt included, zip fastening, slip",EF121C0BK-B11,Short,Short,"36.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.711367127,932,,https://www.zalando.co.uk/only-onlmella-dress-day-dress-blue-heron-stripes-on321c2ti-k11.html,ONLY,ONLMELLA DRESS  , Day dress,summer-dresses,Â£34.99,pastel blue,--,--,--,Semi-sheer,"80% polyester, 20% cotton",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,V-neck,Striped,"Border, bust darts, belt included",ON321C2TI-K11,Short,Elbow length,"33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.754736103,3407,,https://www.zalando.co.uk/ilse-jacobsen-ruma-day-dress-black-il121c04n-b11.html,Ilse Jacobsen,RUMA , Day dress,summer-dresses,Â£174.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Print,"Belt included, bust darts",IL121C04N-B11,Calf-length,"20.5 "" (Size 8)","51.0 "" (Size 8)",Loose Fit,--,"16.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.786501516,1901,,https://www.zalando.co.uk/esprit-dresses-light-shirt-dress-red-es121c225-g11.html,Esprit,LIGHT , Day dress,summer-dresses,Â£59.99,red,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,--,Low-cut v-neck,Floral,Decorative buttons,ES121C225-G11,Knee-length,"24.0 "" (Size 10)","40.5 "" (Size 10)",Loose Fit,--,"16.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.950665527,1002,,https://www.zalando.co.uk/jdy-jdymathilde-dress-day-dress-sagebrush-green-jy121c0hd-m11.html,JDY,JDYMATHILDE DRESS , Day dress,summer-dresses,Â£23.99,pastel green,--,--,Jersey,--,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,--,JY121C0HD-M11,Short,"25.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.303617932,3565,,https://www.zalando.co.uk/ps-paul-smith-dress-day-dress-dark-blue-ps721c034-k11.html,PS Paul Smith,DRESS , Day dress,summer-dresses,Â£279.99,blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,V-neck,Floral,Border,PS721C034-K11,Short,"26.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.504227931,6868,,https://www.zalando.co.uk/versace-jeans-couture-cady-bistretch-cocktail-dress-party-dress-black-vei21c042-q11.html,Versace Jeans Couture,CADY BISTRETCH , Cocktail dress / Party dress,Cocktail Dresses,Â£329.99,black,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Backless,Plain,--,VEI21C042-Q11,Extra short,Sleeveless,"33.0 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.542223419,6803,,https://www.zalando.co.uk/only-petite-onldaya-strap-print-dress-cocktail-dress-party-dress-marine-green-op421c0dt-m11.html,ONLY Petite,ONLDAYA STRAP PRINT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£25.99,green,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Backless,Print,--,OP421C0DT-M11,Extra short,Spaghetti straps,"34.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.446722781,5574,,https://www.zalando.co.uk/gant-pleated-dress-day-dress-eggshell-ga321c061-a11.html,GANT,PLEATED DRESS , Day dress,summer-dresses,Â£219.99,multi-coloured,--,--,--,--,100% polyester,--,Machine wash at 30Â°C,Shirt collar,--,--,Button,--,Print,Belt included,GA321C061-A11,Calf-length,"23.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.543170318,5619,,https://www.zalando.co.uk/vero-moda-vmkatniss-short-dress-day-dress-black-ve121c2pa-q11.html,Vero Moda,VMKATNISS SHORT DRESS , Day dress,summer-dresses,Â£31.49,black,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C2PA-Q11,Short,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.787055032,2176,,https://www.zalando.co.uk/esprit-dresses-light-day-dress-red-es121c22n-g11.html,Esprit,DRESSES LIGHT , Day dress,summer-dresses,Â£54.99,red,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,V-neck,Plain,--,ES121C22N-G11,Knee-length,"20.0 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,--,"16.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.878953801,7522,,https://www.zalando.co.uk/vero-moda-petite-vmhenna-wrap-frill-dress-day-dress-goji-berry-vm021c0d8-g11.html,Vero Moda Petite,VMHENNA WRAP FRILL DRESS , Day dress,Cocktail Dresses,Â£30.99,red,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt,Cache-coeur,Polka dot,--,VM021C0D8-G11,Knee-length,Short,"36.0 "" (Size S)",Slim Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.504143452,6817,,https://www.zalando.co.uk/needle-and-thread-floret-ballerina-dress-cocktail-dress-party-dress-petal-pink-nt521c0f3-j11.html,Needle & Thread,FLORET BALLERINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£499.99,pastel pink,--,--,Tulle,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Crew neck,Floral,"Bust darts, slip, border, embroidery",NT521C0F3-J11,Calf-length,"25.0 "" (Size 8)","48.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.580284789,7150,,https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-snow-white-iv321c03e-a11.html,IVY & OAK BRIDAL,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£239.99,white,--,--,Lace,--,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,--,--,Zip,Backless,Plain,"Bust darts, slip, fringing",IV321C03E-A11,Knee-length,Short,"41.5 "" (Size 8)",Small,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.162575607,4492,,https://www.zalando.co.uk/pieces-maternity-pmsugi-midi-dress-day-dress-black-piv29f03g-q11.html,Pieces Maternity,PMSUGI MIDI DRESS , Day dress,summer-dresses,Â£39.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Floral,Bust darts,PIV29F03G-Q11,Calf-length,"27.5 "" (Size 8)","45.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.98388728,7207,,https://www.zalando.co.uk/wal-g-jina-skater-dress-cocktail-dress-party-dress-forest-green-wg021c0r4-m11.html,WAL G.,JINA SKATER DRESS , Jersey dress,Cocktail Dresses,Â£33.99,dark green,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,--,WG021C0R4-M11,Short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.094782904,3550,,https://www.zalando.co.uk/polo-ralph-lauren-basic-day-dress-carmel-pink-po221c06e-j11.html,Polo Ralph Lauren,COTTON MESH POLO DRESS , Day dress,summer-dresses,Â£139.99,pink,--,--,PiquÃ©,--,100% cotton,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,--,--,--,--,Plain,--,PO221C06E-J11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.436503899,476,,https://www.zalando.co.uk/only-petite-onlolivia-wrap-dress-day-dress-blackredshore-op421c09z-q11.html,ONLY Petite,ONLOLIVIA WRAP DRESS , Day dress,summer-dresses,Â£25.99,black/red,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,Bust darts,OP421C09Z-Q11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.213064747,4261,,https://www.zalando.co.uk/knowledgecotton-apparel-heather-shape-lasered-out-flower-dress-vegan-day-dress-total-eclipse-kn221c00e-k11.html,KnowledgeCotton Apparel,HEATHER SHAPE LASERED OUT FLOWER DRESS VEGAN , Day dress,summer-dresses,Â£119.99,navy,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,"Bust darts, slip",KN221C00E-K11,Knee-length,Elbow length,"35.5 "" (Size S)",Loose Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.53286653,4128,,https://www.zalando.co.uk/tory-burch-day-dress-french-cream-t0721c01g-a12.html,Tory Burch,Day dress,,summer-dresses,Â£310.00,green,--,--,--,Semi-sheer,100% cotton,--,Hand wash only,Standing collar,--,--,--,Low-cut v-neck,Print,"Border, tassels, rhinestones",T0721C01G-A12,Extra short,"24.5 "" (Size S)","32.5 "" (Size S)",Loose Fit,--,"15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.034125065,2216,,https://www.zalando.co.uk/moss-copenhagen-ima-dress-day-dress-caribou-m0y21c08d-o11.html,Moss Copenhagen,IMA DRESS , Jersey dress,summer-dresses,Â£64.99,brown,--,--,Jersey,--,"72% viscose, 23% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Elasticated waist,M0Y21C08D-O11,Short,"24.0 "" (Size S/M)","36.0 "" (Size S/M)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S/M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.348365251,4638,,https://www.zalando.co.uk/mango-rosa-a-day-dress-lichtpastelgrijs-m9121c5l7-b11.html,Mango,ROSA A , Day dress,summer-dresses,Â£69.99,off-white,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",--,--,--,Button,Crew neck,Plain,--,M9121C5L7-B11,Calf-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.655132585,2001,,https://www.zalando.co.uk/only-onlalice-dress-day-dress-black-on321c2ov-q11.html,ONLY,ONLALICE DRESS , Day dress,summer-dresses,Â£30.99,black,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,"Belt included, slip",ON321C2OV-Q11,Short,3/4 length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.21231697,4416,,https://www.zalando.co.uk/love-moschino-day-dress-black-lo921c063-q11.html,Love Moschino,Day dress,,summer-dresses,Â£199.99,black,--,--,Jersey,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Rhinestones,LO921C063-Q11,Short,"24.5 "" (Size 12)","37.5 "" (Size 12)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 12",--,--,--,--,--,"95% cotton, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.473274328,6584,,https://www.zalando.co.uk/weekday-halter-dress-cocktail-dress-party-dress-multi-coloured-web21c06h-t11.html,Weekday,HALTER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£40.00,multi-coloured,--,--,Mesh,--,"94% polyester, 6% elastane","92% polyamide, 8% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,V-neck,Animal print,Slip,WEB21C06H-T11,Long,Sleeveless,"49.0 "" (Size S)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.542883141,6603,,https://www.zalando.co.uk/wal-g-harper-off-the-shoulder-skater-dress-cocktail-dress-party-dress-camel-wg021c0se-b11.html,WAL G.,HARPER OFF THE SHOULDER SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,sand,--,--,Lace,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,Slip,WG021C0SE-B11,Short,"14.0 "" (Size 10)","30.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.09076909,285,,https://www.zalando.co.uk/object-objmila-dress-day-dress-black-ob121c0pq-q11.html,Object,OBJMILA GIA  , Day dress,summer-dresses,Â£43.99,black,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,Slip,OB121C0PQ-Q11,Short,"22.0 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.460415368,63,,https://www.zalando.co.uk/tommy-hilfiger-interlock-hoodie-short-dress-day-dress-desert-sky-to121c0k7-k11.html,Tommy Hilfiger,INTERLOCK HOODIE SHORT DRESS , Day dress,summer-dresses,Â£76.99,black,--,--,Sweat,--,"64% cotton, 36% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Zip,--,Plain,"Inseam pockets, elasticated waist",TO121C0K7-K11,Short,"25.0 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.23998959,1956,,https://www.zalando.co.uk/only-onllaurence-day-dress-black-on321c2sn-q11.html,ONLY,ONLLAURENCE  , Day dress,summer-dresses,Â£34.99,black,--,--,Tulle,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Slip,ON321C2SN-Q11,Short,"24.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,--,"13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.019802665,2042,,https://www.zalando.co.uk/superdry-day-dress-autumn-ditsy-gold-su221c0nh-f11.html,Superdry,Day dress,,summer-dresses,Â£39.99,yellow,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,SU221C0NH-F11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.375936048,5458,,https://www.zalando.co.uk/superdry-day-dress-apple-red-su221c0np-g11.html,Superdry,Day dress,,summer-dresses,Â£59.99,red,--,--,--,--,100% cotton,--,--,--,--,--,--,V-neck,Plain,--,SU221C0NP-G11,Knee-length,Spaghetti straps,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.556383002,405,,https://www.zalando.co.uk/jdy-jdymary-dress-day-dress-dark-grey-melange-jy121c0g3-c12.html,JDY,JDYMARY DRESS , Day dress,summer-dresses,Â£25.99,grey,--,--,Sweat,--,"65% polyester, 35% viscose",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Marl,--,JY121C0G3-C12,Knee-length,"25.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.284966418,2690,,https://www.zalando.co.uk/anna-field-day-dress-brown-an621c1ph-o11.html,Anna Field,Day dress,,summer-dresses,Â£30.99,orange,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Bust darts,AN621C1PH-O11,Knee-length,"17.5 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.826544065,6966,,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-smaraggold-sg721c0jy-m11.html,Swing,Jersey dress,,Cocktail Dresses,Â£114.99,black/green,100% polyester,--,Jersey,--,"95% polyester, 5% elastane","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Striped,"Inseam pockets, bust darts",SG721C0JY-M11,Knee-length,"17.5 "" (Size 10)","34.5 "" (Size 10)",Slim Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.289650176,1598,,https://www.zalando.co.uk/billabong-day-trippin-day-dress-lime-bi721c05j-e11.html,Billabong,DAY TRIPPIN , Day dress,summer-dresses,Â£54.99,pastel yellow,--,--,--,Semi-sheer,100% viscose,--,Hand wash only,--,--,--,Laces,Low-cut v-neck,Floral,Bust darts,BI721C05J-E11,Short,Short,"33.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.189337353,4428,,https://www.zalando.co.uk/summery-copenhagen-josefine-short-sleeves-day-dress-emerald-cec21c03z-m11.html,SUMMERY Copenhagen,JOSEFINE , Day dress,summer-dresses,Â£194.99,green,--,--,--,Semi-sheer,100% cotton,--,Hand wash only,--,--,--,--,Crew neck,--,Bust darts,CEC21C03Z-M11,Knee-length,Short,"43.5 "" (Size S)",Loose Fit,--,"15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.149101117,2020,,https://www.zalando.co.uk/gap-woven-dress-day-dress-black-gp021c0k5-a11.html,GAP,WOVEN DRESS , Day dress,summer-dresses,Â£37.39,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Checked,Bust darts,GP021C0K5-A11,Knee-length,"23.5 "" (Size M)","35.5 "" (Size M)",Loose Fit,"Our model is 5' 10""  tall and is wearing size M","15.5 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.942553444,1293,,https://www.zalando.co.uk/vila-vitinny-new-dress-jersey-dress-darkest-spruce-v1021c0mm-m15.html,Vila,VITINNY , Day dress,summer-dresses,Â£23.99,dark green,--,--,Jersey,--,"79% polyester, 18% viscose, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Zip,Crew neck,Plain,Bust darts,V1021C0MM-M15,Short,"17.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.433742965,899,,https://www.zalando.co.uk/vila-vipassa-strap-short-dress-day-dress-mars-red-v1021c2hv-g11.html,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,Â£34.99,red,--,--,Mesh,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,Slip,V1021C2HV-G11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.038826481,180,,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-blue-mirage-on321c1rr-k12.html,ONLY,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,Bust darts,ON321C1RR-K12,Knee-length,Short,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.529537353,3108,,https://www.zalando.co.uk/calvin-klein-mix-media-tank-dress-day-dress-magnetic-yellow-6ca21c05x-e11.html,Calvin Klein,MIX MEDIA TANK DRESS , Day dress,summer-dresses,Â£199.99,yellow,--,--,Jersey,--,"90% lyocell, 10% silk",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Scoop neck,Plain,--,6CA21C05X-E11,Long,Sleeveless,"54.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,100% silk,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
