,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
57,girly,girly,Needle & Thread,FLORET BALLERINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,499.99,pastel pink,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,"Bust darts, slip, border, embroidery",NT521C0F3-J11,Calf-length,"25.0 "" (Size 8)","48.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
58,girly,girly,IVY & OAK BRIDAL,DRESS , Cocktail dress / Party dress,Cocktail Dresses,239.99,white,100% polyester,Yes,Lace,Semi-sheer,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Hand wash only, Dry cleanable",Mandarin collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,"Bust darts, slip, fringing",IV321C03E-A11,Knee-length,Short,"41.5 "" (Size 8)",Small,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
59,casual chic,casual chic,Pieces Maternity,PMSUGI MIDI DRESS , Day dress,summer-dresses,39.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Bust darts,PIV29F03G-Q11,Calf-length,"27.5 "" (Size 8)","45.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
60,alternative,trendy,WAL G.,JINA SKATER DRESS , Jersey dress,Cocktail Dresses,33.99,dark green,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,WG021C0R4-M11,Short,Spaghetti straps,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
61,sporty,sporty,Polo Ralph Lauren,COTTON MESH POLO DRESS , Day dress,summer-dresses,139.99,pink,100% polyester,Yes,PiquÃ©,Semi-sheer,100% cotton,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,PO221C06E-J11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)"
62,alternative,girly,ONLY Petite,ONLOLIVIA WRAP DRESS , Day dress,summer-dresses,25.99,black/red,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Bust darts,OP421C09Z-Q11,Knee-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
63,alternative,alternative,KnowledgeCotton Apparel,HEATHER SHAPE LASERED OUT FLOWER DRESS VEGAN , Day dress,summer-dresses,119.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Bust darts, slip",KN221C00E-K11,Knee-length,Elbow length,"35.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)"
64,trendy,trendy,Tory Burch,Day dress, Day dress,summer-dresses,310.0,green,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Print,"Border, tassels, rhinestones",T0721C01G-A12,Extra short,"24.5 "" (Size S)","32.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size S)"
65,sporty,sporty,Moss Copenhagen,IMA DRESS , Jersey dress,summer-dresses,64.99,brown,100% polyester,Yes,Jersey,Semi-sheer,"72% viscose, 23% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,M0Y21C08D-O11,Short,"24.0 "" (Size S/M)","36.0 "" (Size S/M)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S/M","14.0 "" (Size 8)"
66,classic,classic,Mango,ROSA A , Day dress,summer-dresses,69.99,off-white,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Slip,M9121C5L7-B11,Calf-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
67,classic,classic,ONLY,ONLALICE DRESS , Day dress,summer-dresses,30.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,"Belt included, slip",ON321C2OV-Q11,Short,3/4 length,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
68,unknown,trendy,Love Moschino,Day dress, Day dress,summer-dresses,199.99,black,100% polyester,Yes,Jersey,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Rhinestones,LO921C063-Q11,Short,"24.5 "" (Size 12)","37.5 "" (Size 12)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 12","14.0 "" (Size 8)"
69,edgy,edgy,Alice + Olivia,KATRICE PUFF MINI , Cocktail dress / Party dress,Cocktail Dresses,450.0,black,100% polyester,Yes,Satin,Semi-sheer,"91% silk, 9% elastane","94% polyester, 6% elastane",Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Shoulder pads,A2N21C00S-Q11,Extra short,"16.5 "" (Size 8)","36.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
70,girly,girly,WAL G.,HARPER OFF THE SHOULDER SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,49.99,sand,100% polyester,Yes,Lace,Semi-sheer,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,WG021C0SE-B11,Short,"14.0 "" (Size 10)","30.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)"
71,edgy,casual chic,Object,OBJMILA GIA  , Day dress,summer-dresses,43.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,OB121C0PQ-Q11,Short,"22.0 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
72,sporty,sporty,Tommy Hilfiger,INTERLOCK HOODIE SHORT DRESS , Day dress,summer-dresses,76.99,black,100% polyester,Yes,Sweat,Semi-sheer,"64% cotton, 36% polyester",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Inseam pockets, elasticated waist",TO121C0K7-K11,Short,"25.0 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
73,casual chic,casual chic,ONLY,ONLLAURENCE  , Day dress,summer-dresses,34.99,black,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,ON321C2SN-Q11,Short,"24.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size S)"
74,edgy,alternative,Superdry,Day dress, Day dress,summer-dresses,39.99,yellow,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NH-F11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
75,unknown,alternative,Superdry,Day dress, Day dress,summer-dresses,59.99,red,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,SU221C0NP-G11,Knee-length,Spaghetti straps,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
76,sporty,sporty,JDY,JDYMARY DRESS , Day dress,summer-dresses,25.99,grey,100% polyester,Yes,Sweat,Semi-sheer,"65% polyester, 35% viscose",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Marl,Slip,JY121C0G3-C12,Knee-length,"25.0 "" (Size S)","40.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
77,classic,classic,Anna Field,Day dress, Day dress,summer-dresses,30.99,orange,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Bust darts,AN621C1PH-O11,Knee-length,"17.5 "" (Size 8)","36.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)"
78,classic,classic,Swing,Jersey dress, Day dress,Cocktail Dresses,114.99,black/green,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Striped,"Inseam pockets, bust darts",SG721C0JY-M11,Knee-length,"17.5 "" (Size 10)","34.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 10)"
79,girly,girly,Billabong,DAY TRIPPIN , Day dress,summer-dresses,54.99,pastel yellow,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Laces,Low-cut v-neck,Floral,Bust darts,BI721C05J-E11,Short,Short,"33.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
80,casual chic,casual chic,SUMMERY Copenhagen,JOSEFINE , Day dress,summer-dresses,194.99,green,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Bust darts,CEC21C03Z-M11,Knee-length,Short,"43.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size S)"
81,edgy,edgy,AllSaints,TIGI KIKU DRESS , Cocktail dress / Party dress,Cocktail Dresses,129.99,brown,100% polyester,Yes,Satin,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Animal print,Adjustable straps,A0Q21C0GW-O11,Calf-length,Spaghetti straps,"46.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
82,alternative,classic,Vila,VITINNY , Day dress,summer-dresses,23.99,dark green,100% polyester,Yes,Jersey,Semi-sheer,"79% polyester, 18% viscose, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Bust darts,V1021C0MM-M15,Short,"17.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
83,casual chic,girly,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,34.99,red,100% polyester,Yes,Mesh,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,V1021C2HV-G11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
84,girly,girly,ONLY,ONLOLIVIA DRESS , Day dress,summer-dresses,25.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Floral,Bust darts,ON321C1RR-K12,Knee-length,Short,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
85,trendy,trendy,Calvin Klein,MIX MEDIA TANK DRESS , Day dress,summer-dresses,199.99,yellow,100% polyester,Yes,Jersey,Semi-sheer,"90% lyocell, 10% silk",100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Scoop neck,Plain,Slip,6CA21C05X-E11,Long,Sleeveless,"54.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
86,girly,girly,Hollister Co.,WOVEN MIDI DRESS  , Day dress,summer-dresses,48.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Laces,Backless,Floral,Slip,H0421C05J-K11,Calf-length,"15.5 "" (Size SxL)","47.0 "" (Size SxL)",Regular Fit,"Our model is 5' 9""  tall and is wearing size SxL","14.0 "" (Size 8)"
87,classic,classic,Part Two,AMINASE , Day dress,summer-dresses,94.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% linen,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Inseam pockets, bust darts",P2121C0E7-K11,Knee-length,Short,"39.0 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
88,girly,girly,Lace & Beads,AVALON WRAP MAXI , Occasion wear,Occasion dresses,109.99,pastel green,100% polyester,Yes,"Chiffon, tulle",Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Slip, sequins",LS721C0DP-M11,Long,Sleeveless,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
89,alternative,alternative,mbyM,LECIA , Day dress ,summer-dresses,79.99,orange,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Henley,Print,Slip,MB121C0EN-H11,Knee-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
90,trendy,trendy,DESIGNERS REMIX,VALERIE , Cocktail dress / Party dress,Cocktail Dresses,119.99,grey,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Bust darts,DEA21C03K-C11,Calf-length,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
91,edgy,edgy,Banana Republic,ESSENTIAL DRESS , Cocktail dress / Party dress,Cocktail Dresses,63.74,black,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Side pockets,Zip,Low-cut v-neck,Plain,Belt included,BJ721C0GY-Q11,Short,"21.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","20.0 "" (Size S)"
92,classic,classic,Vero Moda,VMSIMPLY EASY SHIRT DRESS , Day dress,summer-dresses,29.69,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Belt included, bust darts",VE121C2TI-Q11,Calf-length,"23.5 "" (Size S)","48.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)"
93,girly,girly,Derhy,ACACIA ROBE , Day dress,summer-dresses,74.99,pastel purple,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Decorative buttons,RD521C0LM-T11,Knee-length,"21.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","19.5 "" (Size S)"
94,classic,classic,Mango,CAROL , Day dress,summer-dresses,49.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,M9121C5IY-Q11,Knee-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
95,trendy,trendy,Calvin Klein Jeans,STRAPPY TWISTED DRESS , Day dress,summer-dresses,64.99,off-white,100% polyester,Yes,Rib,Semi-sheer,"93% viscose, 7% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,"Adjustable straps, embroidery",C1821C0A9-A11,Knee-length,Spaghetti straps,"29.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
96,sporty,sporty,GANT,LOCK UP HOODIE DRESS , Day dress,summer-dresses,76.99,grey,100% polyester,Yes,Sweat,Semi-sheer,"87% cotton, 13% polyester",100% polyester,Machine wash at 40°C,Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,GA321C03Z-C11,Short,"23.0 "" (Size S)","34.5 "" (Size S)",Normal fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
97,casual chic,casual chic,Superdry,BEACH CAMI , Day dress,summer-dresses,31.49,yellow,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Side pockets,Zip,Crew neck,Floral,Slip,SU221C0OE-H11,Short,Spaghetti straps,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
98,girly,girly,Anna Field,Day dress, Day dress,summer-dresses,30.99,black/pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Floral,Slip,AN621C1L8-Q11,Short,"23.5 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
99,trendy,trendy,WAL G.,SACHA FRILL DRESS , Jersey dress,Occasion dresses,45.99,dark green,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,WG021C0RC-M11,Long,Sleeveless,"59.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
100,edgy,edgy,Bruuns Bazaar,CHECKA JANY DRESS , Day dress,summer-dresses,119.99,black/white,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Checked,Slip,BR321C08Z-Q11,Calf-length,"17.5 "" (Size 8)","42.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","8.5 "" (Size 8)"
101,girly,girly,Pieces,PCANG SQUARE NECK DRESS , Day dress,summer-dresses,17.99,pastel blue,100% polyester,Yes,Jersey,Semi-sheer,"95% cotton, 5% elastane",100% polyester,"Machine wash at 40°C, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,PE321C18V-K11,Short,Sleeveless,"37.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
102,classic,classic,Marc Cain,Day dress, Day dress,summer-dresses,269.99,pink,100% polyester,Yes,Jersey,Semi-sheer,"59% viscose, 33% polyamide, 8% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Inseam pockets,M4R21C083-J11,Calf-length,"24.5 "" (Size 10)","44.5 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
