"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"casual chic",5.526786126796365E-5,0.9125410071352147,0.004364227783568206,0.020181254266403246,0.06207974744456855,2.3904186083429546E-8,7.784716047914748E-4,53,874,"Only","ONLVICTORIA WRAP DRESS ",30.99,1,"black/brown",,"80% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Do not iron, Machine wash on gentle cycle","Standing collar",,"Button","Accentuating the waist",,"Animal Prints in general","Belt included","Short","23.5 "" (Size S)","Long","33.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 5""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","trendy"
"casual chic",0.013366482131979208,0.4804917964583104,0.10759751523185133,0.08201415745419895,0.15852659427773616,2.126614599655533E-10,0.15800345423326242,54,875,"DanefÃ¦ KÃ¸benhavn","JULI DRESS ",104.99,3,"yellow",,"100% cotton",,"Machine wash at 30Â°C",,,"Button",,"Round neckline","Floral","Bust darts","Calf length","Elbow length","Elbow length","49.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)","No","No","No","No","No","casual chic"
"trendy",0.46209585333796754,7.847192810458685E-4,4.792610211302108E-7,2.703709850289295E-4,0.01961516848312568,9.806091980384766E-12,0.5172334086420047,55,876,"Gina Tricot","LIO DRESS ",25.99,1,"black","Jersey","97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",,,,,"Spaghetti straps","Plain",,"Short","Spaghetti straps","Spaghetti straps",,"Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","Yes","alternative"
"edgy",1.4539976784855244E-6,5.722216932251543E-7,0.2768000909364927,0.6970780860439023,6.3949855875147175E-6,4.888082953412386E-16,0.026113401814645405,56,878,"KARL LAGERFELD","PRINTED KAFTAN ",349.99,5,"navy","Satin","100% silk",,,"Turn-down collar","Asymmetrical","Belt","Button down dresses","Round neckline","Prints in general","Belt included, covered fastener","Calf length","19.5 "" (Size S/M)","Long","49.0 "" (Size S/M)","Loose Fit","Loose fit",,"15.5 "" (Size S/M)","No","No","No","No","Yes","alternative"
"sporty",0.02183132935474407,0.004957746316841779,0.054954560137525886,2.915817833554387E-4,2.4192659676768716E-4,0.9164266736853087,0.0012961821254563633,57,879,"Minimum","RAGATTA ",69.99,2,"brown","Jersey","100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Round neckline","Plain","Belt included","Calf length","Short","Short","48.0 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","sporty"
"classic",7.445889461208408E-9,1.0040767979894703E-6,0.9972861536843056,0.002472744586200874,5.384283108713587E-7,2.510371922524976E-9,2.395492681231262E-4,58,880,"Ralph Lauren","SLEEVELESS JERSEY DRESS ",139.99,4,"black","Jersey","53% cotton, 41% viscose, 6% elastane","95% polyester, 5% elastane","Machine wash at 30Â°C",,,"Zip","Wrap dresses","Low v-neck","Plain","Slip","Knee length","Sleeveless","Sleeveless","40.5 "" (Size 10)","Slim Fit","Slim fit",,,"No","No","No","No","No","classic"
"casual chic",0.0148946453407707,0.7875164654247027,0.07582565073969053,0.010354977384685441,0.08456247098958312,2.0585635033390756E-8,0.026845769534932458,59,882,"Only","ONLINC FENJA DRESS ",21.99,1,"orange","Rib","95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,"Bodycon dresses","Round neckline","Floral",,"Short","Sleeveless","Sleeveless","34.5 "" (Size S)","Bodycon","Slim fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","alternative"
"edgy",9.319997156564215E-4,0.09410395935385311,0.012521901446309183,0.8869160874960142,6.594743120925155E-7,4.733566354458773E-6,0.005520658947500402,60,883,"Glamorous","FIXED WRAP FRONT SMOCK DRESS WITH LONG SLEEVES ",28.99,1,"black",,"55% cotton, 45% polyester","100% cotton","Do not tumble dry, machine wash at 30Â°C",,,,"Wrap dresses","Low v-neck","Plain","Slip","Short","25.0 "" (Size 8)","Long","35.0 "" (Size 8)","Loose Fit","Loose fit",,"17.5 "" (Size 8)","No","No","No","No","No","edgy"
"classic",0.09254384693346127,0.30907142234146484,0.5688893068614572,0.02890595234724865,5.462029572198988E-4,1.2749251562283589E-11,4.326854639889247E-5,61,884,"Vila","PAYA ",30.99,1,"black",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",,,"Button",,"Round neckline","Floral",,"Knee length","Short","Short","36.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","classic"
"classic",0.018207895160959883,0.0013191996049516245,0.8916687753370673,2.510391939762864E-4,2.0274965394635573E-4,1.1434669130706318E-6,0.0883491975821855,62,885,"Mango","DALIA H ",39.99,1,"black/white",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Round neckline","Paisley",,"Short","Sleeveless","Sleeveless",,"Slim Fit","Slim fit",,,"No","No","No","No","No","classic"
"classic",1.167241411207822E-8,0.001455106262675828,0.9984253461179053,1.684310353995844E-5,1.883924772950621E-5,7.761017862884118E-5,6.243417106284829E-6,63,886,"Guess by Marciano","AURORA DRESS ",179.99,4,"grey","Satin","100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle","Polo shirt",,"Zip","Polo dresses",,"Floral","Lined fastener, underskirt","Knee length","25.0 "" (Size 10)","Long","39.5 "" (Size 10)","Regular Fit","Regular fit",,"16.0 "" (Size 10)","No","No","No","No","No","unknown"
"alternative",0.36060013684258585,0.3541834022782439,0.005771266339640808,0.14031953568949831,0.0024391644416185843,0.023539434373157305,0.11314706003525518,64,887,"Lindex","Day dress",39.99,1,"dark green",,"100% cotton",,"Machine wash at 40Â°C, do not tumble dry","Standing collar",,,,,"Floral","Bust darts, border",,"25.5 "" (Size 10/12)","Long","37.0 "" (Size 10/12)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10/12","16.5 "" (Size 10/12)","No","No","No","No","No","edgy"
"girly",0.012471018541885322,0.05792664615275037,0.03165023308851545,0.015083901242627708,0.8820334376107252,8.614158099429537E-6,8.26149205396489E-4,65,888,"Vero Moda","VMLISA DRESS ",35.99,1,"black",,"100% cotton",,,,,,,"Low v-neck","Plain","Bow","Knee length","Extra short","Short","38.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","Yes","girly"
"trendy",4.525262442461337E-10,8.380745297192587E-8,6.738358365135237E-5,1.0169314619864785E-4,2.039624859921288E-4,8.311612924837718E-17,0.9996268765241786,66,889,"Cinq Ã  Sept","KAYA DRESS ",315.0,5,"navy",,"100% polyester","100% polyester","Dry clean only","Standing collar",,"Zip",,,"Plain",,"Short","25.5 "" (Size 8)","Long","33.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","trendy"
"trendy",3.0491948952500642E-6,1.8484898243443887E-6,2.2393732074852453E-6,4.962823919194593E-9,1.4735033030760968E-6,1.1255313543784403E-11,0.9999913844646905,67,890,"Never Fully Dressed","LUCY PRINT CLASH DRESS ",104.99,3,"bright multi-coloured",,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Low v-neck","Prints in general",,"Maxi/long","23.5 "" (Size 8)","Long","51.0 "" (Size 8)","Regular Fit","Regular fit",,"13.5 "" (Size 8)","No","No","No","No","No","trendy"
"alternative",0.992928906528038,0.007047600392586526,3.254119025896565E-6,1.9205611081693276E-5,1.007492642115317E-6,3.580337333846992E-13,2.5856267693256765E-8,68,891,"Vero Moda","VMOLGA ",26.34,1,"army green",,"100% polyester",,,,,,"Wrap dresses","Low v-neck","Floral","Bust darts","Short","19.5 "" (Size 16)","Long","38.0 "" (Size 16)","Regular Fit","Regular fit",,"15.5 "" (Size 16)","No","No","No","No","No","casual chic"
"trendy",1.896572482028364E-12,3.179727315421032E-13,1.5082650299475613E-4,0.04805194267253508,0.14067009275470085,5.173795454335388E-24,0.8111271380675548,69,892,"retrofÃªte","GABRIELLE ROBE ",455.0,5,"gold",,"100% viscose","100% viscose","Dry clean only",,,"Belt","Wrap dresses","Low v-neck",,"Sequins","Extra short","23.5 "" (Size S)","Long","27.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size S",,"No","No","yes","No","No","girly"
"trendy",1.5302164448962913E-39,2.0378881377831414E-37,2.9054617010009507E-4,0.4571517284103618,0.0033156054284871842,7.130713863999682E-64,0.5392421199910509,70,893,"Alberta Ferretti","DRESS EMBROIDERED ",910.0,5,"yellow","Lace, tulle","100% polyester","90% acetate, 5% silk, 5% elastane","Dry clean only",,,"Zip",,"Round neckline","Plain","Slip, border, embroidery","Short","22.0 "" (Size 10)","Long","35.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)","No","No","No","No","No","unknown"
"girly",1.1628112373187656E-7,6.141501937552222E-7,2.061116782602065E-10,5.304960084182478E-11,0.9999957426861583,1.5003096913475543E-14,3.5266233478766985E-6,71,894,"Hollister Co.","BEST IS BACK ",34.99,1,"pastel blue","Jersey","92% polyester, 8% elastane","100% polyester","Machine wash at 30Â°C",,,,,"Spaghetti straps","Floral","Adjustable straps, bow","Calf length","Spaghetti straps","Spaghetti straps","47.0 "" (Size SxL)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size SxL",,"No","No","No","No","Yes","girly"
"girly",1.3271102767740742E-7,0.058030017990625966,2.7731075250924487E-4,2.3674679041198695E-7,0.9416866537632861,2.8574628408586785E-11,5.648007186023303E-6,72,895,"Vero Moda","VMFIE MINI DRESS ",34.99,1,"white","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,,"Wrap dresses","Low v-neck","Polka dot","Belt included, bust darts, slip","Short","26.5 "" (Size S)","Long","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","17.0 "" (Size S)","No","No","No","No","No","girly"
"classic",0.05942081475752926,0.0034017438526162463,0.9371571795669545,2.163414545964265E-7,1.8345641948180626E-5,1.6669001846246401E-6,3.2939312612068544E-8,73,896,"Marc'o polo","DRESS SLEEVE ELASTIC CUFF ",99.99,3,"grey",,"100% lyocell",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain","Bust darts","Knee length","18.5 "" (Size S)","Elbow length","36.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)","No","No","No","No","No","classic"
"classic",1.512343481544541E-6,0.08291171441682442,0.9056250268058895,0.004423701083976128,1.6191685627456513E-4,2.6315463640055698E-8,0.006876102178090217,74,897,"Only","ONLSOPHIA DRESS ",29.74,1,"black/white","Tulle","95% polyester, 5% elastane","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Animal Prints in general",,"Calf length","23.5 "" (Size 10)","Long","46.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10",,"No","No","No","No","No","classic"
"girly",0.03643653177410619,0.043804660167786925,0.028335205698045398,4.313463274650962E-5,0.8900598162846086,3.3799983190700867E-9,0.0013206480627081718,75,898,"Selected Femme","SLFIONA SHORT DRESS ",59.99,2,"pastel purple","Chiffon","98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Button","Accentuating the waist",,"Plain","Belt included","Short","Elbow length","Elbow length","35.5 "" (Size 8)","Loose Fit","Loose fit",,"19.5 "" (Size 8)","Yes","No","No","No","No","girly"
"edgy",0.019468623563436954,0.05977001118467703,0.03847641853957953,0.8821015029187667,2.7271552783112267E-5,3.0915203130686663E-6,1.5308072044377188E-4,76,899,"2nd Day","LORETTA  ",94.99,3,"army green",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain",,"Short","Short","Short",,"Loose Fit","Loose fit",,,"Yes","No","No","No","No","edgy"
"classic",3.303046431117027E-12,1.1360313152195876E-6,0.7151875733737292,1.0929764627804447E-4,0.26825852523578886,2.3836010819284903E-9,0.01644346532598454,77,900,"Ralph Lauren","OFF THE SHOULDER GOWN ",219.99,5,"white","Jersey","89% polyester, 11% elastane","94% polyester, 6% elastane","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Boat neckline (wide)","Plain","Bust darts, slip","Maxi/long","Extra short","Short","57.5 "" (Size 10)","Slim Fit","Slim fit",,,"No","No","No","No","No","girly"
"alternative",0.635088954394382,0.3633772944465903,6.51080164945784E-5,0.001411148402665461,5.7335118629426465E-5,6.918824080382899E-13,1.5962054642593898E-7,78,901,"MAMALICIOUS","MLZELMA DRESS ",44.99,2,"army green",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Button","Accentuating the waist",,"Floral","Belt included","Knee length","24.5 "" (Size 8)","Long","39.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","alternative"
"girly",1.4854290029988216E-5,6.304488177631158E-8,1.32117120500926E-9,7.953001460026118E-8,0.7645673179092614,3.0074527854886506E-19,0.23541768390464107,79,902,"Missguided","SHIRRED STRAP DRESS ",21.99,1,"pink",,"95% polyester, 5% elastane",,"Machine wash at 30Â°C",,,"Zip",,"Spaghetti straps","Plain","Bust darts","Short","Spaghetti straps","Spaghetti straps","30.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","Yes","girly"
"alternative",0.9536454373634478,0.0013388913999706166,1.9814324882799203E-8,0.02636558054426896,6.296294741691874E-4,1.645515842123655E-7,0.01802027685223441,80,903,"Superdry","Day dress",59.99,2,"black",,"58% cupro, 42% viscose",,,,,,,"Spaghetti straps","Plain",,"Knee length","Spaghetti straps","Spaghetti straps",,"Slim Fit","Slim fit",,,"No","No","No","No","Yes","edgy"
"casual chic",4.4779124609420815E-7,0.9788209660381498,0.0011845461539656049,0.019974201368705216,1.2254686190459045E-6,2.8840970500475472E-8,1.8584338343897496E-5,81,904,"GAP","PARTY TIE WAIST DRESS ",43.99,2,"black","Satin","100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Low v-neck","Plain","Belt included","Short","23.5 "" (Size S)","Long","35.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","casual chic"
"casual chic",0.023302356231145568,0.9556316187177873,0.011114757146594833,0.003962463268462607,0.0059886562274983355,1.8272389162336448E-14,1.4840849318060474E-7,82,905,"Vila","VIDIANA FLOUNCE DRESS ",30.99,1,"burgundy",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Round neckline","Floral","Belt included, bust darts","Knee length","Short","Short","38.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","casual chic"
"alternative",0.9966703340002458,0.003050352537299848,2.615172979821091E-4,1.767837267752359E-5,8.219547772015282E-8,5.834801252446349E-12,3.5590482320738824E-8,83,906,"Esprit","LIGHT  ",29.99,1,"black",,"100% viscose",,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Prints in general",,"Short","Long","Long",,"Loose Fit","Loose fit",,,"No","No","No","No","No","alternative"
"casual chic",0.01843646579420063,0.9658148039144504,3.648191444690046E-6,0.013931382385401979,0.0017875653812888571,4.131269029791466E-10,2.6133920086470712E-5,84,907,"Yas","YASBOOM DRESS ",69.99,2,"black",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C","Peter pan collar",,,,"Round neckline","Floral","Bust darts, slip","Short","25.0 "" (Size S)","Long","33.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)","No","No","No","No","No","casual chic"
"alternative",0.9988988975997044,0.0010701608440237323,2.2275028403063494E-5,6.109834715765198E-6,2.4987973947680503E-6,4.199970458263849E-12,5.7891558078850513E-8,85,908,"Only","ONLFIA WRAP DRESS ",26.34,1,"army green","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,,"Wrap dresses","Low v-neck","Paisley","Belt included, slip","Knee length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"casual chic",0.00968210889321126,0.8154389966434344,0.10009911965509476,0.07329483866607868,0.001472095019141645,1.236548322904264E-14,1.2841123026970355E-5,86,909,"Esprit","DRESS ",44.99,2,"black multi-coloured",,"100% viscose","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"V-neck",,"Slip","Short","25.0 "" (Size 10)","Long","35.0 "" (Size 10)","Regular Fit","Regular fit",,"15.0 "" (Size 10)","No","No","No","No","No","casual chic"
"girly",0.09330901164526721,0.0223902908624527,0.03075664450718472,7.616218469761006E-6,0.7451419098096852,1.8221457422228127E-6,0.10839270481119814,87,910,"Mango","VOLE",35.99,1,"pink",,"100% cotton","100% viscose","Do not tumble dry, machine wash at 30Â°C",,,,,"Round neckline","Plain",,"Short","Elbow length","Elbow length",,"Loose Fit","Loose fit",,,"No","No","No","No","No","girly"
"classic",1.1264854634919118E-5,0.00935077976715085,0.9824401184764087,0.0013846808568969149,0.00311295240708912,1.2583943740957044E-11,0.003700203625235539,88,912,"TOM TAILOR","PRINTED  ",54.99,2,"navy","Tulle","95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C","Mandarin collar",,,,"Round neckline","Floral","Slip","Calf length","Long","Long",,"Slim Fit","Slim fit",,,"No","No","No","No","No","casual chic"
"edgy",0.24550068770017977,8.370533997189368E-4,0.0013611031459766789,0.7519854447164087,1.616888097612003E-5,7.147179310941919E-11,2.9954208526797695E-4,89,913,"Missguided","PUFFBALL SHIRT DRESS ",30.99,1,"army green",,"100% cotton","100% polyester","Machine wash at 30Â°C","Turn-down collar",,"Button","Button down dresses",,"Plain","Covered fastener, elasticated waist, belt included","Short","Elbow length","Elbow length","30.5 "" (Size 8)","Regular Fit","Regular fit",,"13.0 "" (Size 8)","No","No","No","No","No","edgy"
